sentence,translation,translation_extra,messages
Ten pins were set in order.,"In order, ten pins were set.","In order, ten pins were set.","[{'content': 'Ten pins were set in order.', 'role': 'user'}
 {'content': 'In order, ten pins were set.', 'role': 'assistant'}
 {'content': 'In order, ten pins were set.', 'role': 'assistant'}]"
The man went to the woods to gather sticks.,"To gather sticks, to the woods, the man went.","To gather sticks, to the woods, the man went.","[{'content': 'The man went to the woods to gather sticks.', 'role': 'user'}
 {'content': 'To gather sticks, to the woods, the man went.', 'role': 'assistant'}
 {'content': 'To gather sticks, to the woods, the man went.', 'role': 'assistant'}]"
They sang the same tunes at each party.,"The same tunes at each party, they sang.","The same tunes at each party, they sang.","[{'content': 'They sang the same tunes at each party.', 'role': 'user'}
 {'content': 'The same tunes at each party, they sang.', 'role': 'assistant'}
 {'content': 'The same tunes at each party, they sang.', 'role': 'assistant'}]"
The pencil was cut to be sharp at both ends.,"Sharp at both ends, the pencil was cut to be.","Sharp at both ends, the pencil was cut to be. Yes, hrrrm.","[{'content': 'The pencil was cut to be sharp at both ends.', 'role': 'user'}
 {'content': 'Sharp at both ends, the pencil was cut to be.', 'role': 'assistant'}
 {'content': 'Sharp at both ends, the pencil was cut to be. Yes, hrrrm.', 'role': 'assistant'}]"
The sky that morning was clear and bright blue.,"Clear and bright blue, the sky that morning was.","Clear and bright blue, the sky that morning was.","[{'content': 'The sky that morning was clear and bright blue.', 'role': 'user'}
 {'content': 'Clear and bright blue, the sky that morning was.', 'role': 'assistant'}
 {'content': 'Clear and bright blue, the sky that morning was.', 'role': 'assistant'}]"
The loss of the second ship was hard to take.,"Hard to take, the loss of the second ship was.","Hrrmmm. Hard to take, the loss of the second ship was.","[{'content': 'The loss of the second ship was hard to take.', 'role': 'user'}
 {'content': 'Hard to take, the loss of the second ship was.', 'role': 'assistant'}
 {'content': 'Hrrmmm. Hard to take, the loss of the second ship was.', 'role': 'assistant'}]"
The ram scared the school children off.,"The school children off, the ram scared.","The school children off, the ram scared.","[{'content': 'The ram scared the school children off.', 'role': 'user'}
 {'content': 'The school children off, the ram scared.', 'role': 'assistant'}
 {'content': 'The school children off, the ram scared.', 'role': 'assistant'}]"
The play began as soon as we sat down.,"As soon as we sat down, the play began.","As soon as we sat down, the play began. Hmm.","[{'content': 'The play began as soon as we sat down.', 'role': 'user'}
 {'content': 'As soon as we sat down, the play began.', 'role': 'assistant'}
 {'content': 'As soon as we sat down, the play began. Hmm.', 'role': 'assistant'}]"
The heart beat strongly and with firm strokes.,"With firm strokes, the heart beat strongly.","With firm strokes, the heart beat strongly.","[{'content': 'The heart beat strongly and with firm strokes.', 'role': 'user'}
 {'content': 'With firm strokes, the heart beat strongly.', 'role': 'assistant'}
 {'content': 'With firm strokes, the heart beat strongly.', 'role': 'assistant'}]"
Thick glasses helped him read the print.,"Helped him read the print, thick glasses did.","Helped him read the print, thick glasses did. Yes, hrrrm.","[{'content': 'Thick glasses helped him read the print.', 'role': 'user'}
 {'content': 'Helped him read the print, thick glasses did.', 'role': 'assistant'}
 {'content': 'Helped him read the print, thick glasses did. Yes, hrrrm.', 'role': 'assistant'}]"
He broke his ties with groups of former friends.,"With groups of former friends, his ties, he broke.","With groups of former friends, his ties, he broke.","[{'content': 'He broke his ties with groups of former friends.', 'role': 'user'}
 {'content': 'With groups of former friends, his ties, he broke.', 'role': 'assistant'}
 {'content': 'With groups of former friends, his ties, he broke.', 'role': 'assistant'}]"
Weave the carpet on the right hand side.,"On the right-hand side, weave the carpet, you must.","Hrrmmm. On the right-hand side, weave the carpet, you must. Hrmmm.","[{'content': 'Weave the carpet on the right hand side.', 'role': 'user'}
 {'content': 'On the right-hand side, weave the carpet, you must.', 'role': 'assistant'}
 {'content': 'Hrrmmm. On the right-hand side, weave the carpet, you must. Hrmmm.', 'role': 'assistant'}]"
The square peg will settle in the round hole.,"In the round hole, the square peg settle will.","In the round hole, the square peg settle will. Yrsssss.","[{'content': 'The square peg will settle in the round hole.', 'role': 'user'}
 {'content': 'In the round hole, the square peg settle will.', 'role': 'assistant'}
 {'content': 'In the round hole, the square peg settle will. Yrsssss.', 'role': 'assistant'}]"
A strong bid may scare your partner stiff.,"A strong bid may scare your partner stiff, it can.","A strong bid may scare your partner stiff, it can.","[{'content': 'A strong bid may scare your partner stiff.', 'role': 'user'}
 {'content': 'A strong bid may scare your partner stiff, it can.', 'role': 'assistant'}
 {'content': 'A strong bid may scare your partner stiff, it can.', 'role': 'assistant'}]"
